revision,clones,prevented,detected
1,196,4,192
2,196,4,192
3,196,4,192
4,196,4,192
5,196,4,192
6,202,5,197
7,203,5,198
8,205,5,200
9,205,5,200
10,205,5,200
11,205,5,200
12,205,5,200
13,207,5,202
14,207,5,202
15,207,5,202
16,213,5,208
17,215,5,210
18,220,5,215
19,220,5,215
20,223,5,218
21,223,5,218
22,223,5,218
23,223,5,218
24,222,5,217
25,222,5,217
26,222,5,217
27,224,5,219
28,224,5,219
29,224,5,219
30,233,5,228
31,386,9,377
32,408,10,398
33,410,11,399
34,446,12,434
35,454,13,441
36,454,14,440
37,454,15,439
38,459,15,444
39,561,15,546
40,697,17,680
41,698,17,681
42,836,20,816
43,836,20,816
44,836,20,816
45,838,20,818
46,834,20,814
47,834,20,814
48,833,20,813
49,824,20,804
50,824,20,804
51,824,20,804
52,824,20,804
53,824,20,804
54,815,20,795
55,815,20,795
56,815,20,795
57,815,20,795
58,815,20,795
59,815,20,795
60,819,20,799
61,819,20,799
62,821,20,801
63,820,20,800
64,821,20,801
65,821,20,801
66,826,20,806
67,826,20,806
68,826,20,806
69,826,20,806
70,826,20,806
71,826,20,806
72,826,20,806
73,826,20,806
74,823,20,803
75,826,20,806
76,826,20,806
77,826,20,806
78,826,20,806
79,826,20,806
80,826,20,806
81,826,20,806
82,826,20,806
83,806,20,786
84,806,20,786
85,806,20,786
86,754,17,737
87,763,17,746
88,764,17,747
89,764,17,747
90,764,17,747
91,764,17,747
92,764,17,747
93,764,17,747
94,769,17,752
95,769,17,752
96,769,17,752
97,769,17,752
98,769,17,752
99,769,17,752
100,769,17,752
101,769,17,752
102,769,17,752
103,769,17,752
104,769,17,752
105,769,17,752
106,769,17,752
107,769,17,752
108,769,17,752
109,769,17,752
110,776,17,759
111,773,17,756
112,772,17,755
113,772,17,755
114,772,17,755
115,788,17,771
116,797,17,780
117,796,17,779
118,796,17,779
119,730,17,713
120,736,17,719
121,737,17,720
122,737,17,720
123,739,17,722
124,739,17,722
125,739,17,722
126,739,17,722
127,739,17,722
128,739,17,722
129,740,17,723
130,740,17,723
131,740,17,723
132,741,17,724
133,741,17,724
134,741,17,724
135,742,17,725
136,742,17,725
137,742,17,725
138,742,17,725
139,742,17,725
140,742,17,725
141,742,17,725
142,742,17,725
143,747,17,730
144,747,17,730
145,747,17,730
146,766,17,749
147,766,17,749
148,766,17,749
149,759,17,742
150,759,17,742
151,759,17,742
152,759,17,742
153,759,17,742
154,759,17,742
155,759,17,742
156,759,17,742
157,762,17,745
158,762,17,745
159,761,17,744
160,759,17,742
161,759,17,742
162,759,17,742
163,759,17,742
164,759,17,742
165,759,17,742
166,759,17,742
167,759,17,742
168,759,17,742
169,759,17,742
170,759,17,742
171,759,17,742
172,759,17,742
173,758,17,741
174,756,17,739
175,756,17,739
176,756,17,739
177,756,17,739
178,757,17,740
179,757,17,740
180,2048,114,1934
181,2064,114,1950
182,1279,21,1258
183,1279,21,1258
184,1279,21,1258
185,1279,21,1258
186,1279,21,1258
187,1280,21,1259
188,1280,21,1259
189,1280,21,1259
190,1280,21,1259
191,1291,21,1270
192,1309,21,1288
193,1309,21,1288
194,1309,21,1288
195,1309,21,1288
196,1329,21,1308
197,1329,21,1308
198,1329,21,1308
199,1329,21,1308
200,1349,21,1328
201,1357,21,1336
202,1357,21,1336
203,1357,21,1336
204,1357,21,1336
205,1356,21,1335
206,1345,21,1324
207,1350,21,1329
208,1312,21,1291
209,1312,21,1291
210,1312,21,1291
211,1312,21,1291
212,1312,21,1291
213,1312,21,1291
214,1312,21,1291
215,1312,21,1291
216,1312,21,1291
217,1312,21,1291
218,1312,21,1291
219,1312,21,1291
220,1312,21,1291
221,1312,21,1291
222,1310,21,1289
223,1311,21,1290
224,1311,21,1290
225,1311,21,1290
226,1310,21,1289
