revision,clones,prevented,detected
1,85,2,83
2,85,2,83
3,85,2,83
4,85,2,83
5,85,2,83
6,85,2,83
7,85,2,83
8,85,2,83
9,85,2,83
10,85,2,83
11,85,2,83
12,85,2,83
13,85,2,83
14,85,2,83
15,85,2,83
16,85,2,83
17,85,2,83
18,85,2,83
19,85,2,83
20,85,2,83
21,85,2,83
22,85,2,83
23,85,2,83
24,85,2,83
25,85,2,83
26,85,2,83
27,85,2,83
28,85,2,83
29,85,2,83
30,85,2,83
31,85,2,83
32,85,2,83
33,85,2,83
34,85,2,83
35,85,2,83
36,85,2,83
37,85,2,83
38,85,2,83
39,85,2,83
40,85,2,83
41,85,2,83
42,85,2,83
43,85,2,83
44,85,2,83
45,85,2,83
46,85,2,83
47,85,2,83
48,85,2,83
49,85,2,83
50,85,2,83
51,85,2,83
52,85,2,83
53,85,2,83
54,85,2,83
55,85,2,83
56,85,2,83
57,85,2,83
58,85,2,83
59,85,2,83
60,85,2,83
61,85,2,83
62,85,2,83
63,85,2,83
64,85,2,83
65,85,2,83
66,85,2,83
67,85,2,83
68,85,2,83
69,85,2,83
70,85,2,83
71,85,2,83
72,85,2,83
73,85,2,83
74,85,2,83
75,85,2,83
76,85,2,83
77,85,2,83
78,85,2,83
79,85,2,83
80,85,2,83
81,85,2,83
82,85,2,83
83,85,2,83
84,85,2,83
85,85,2,83
86,85,2,83
87,85,2,83
88,85,2,83
89,85,2,83
90,85,2,83
91,85,2,83
92,85,2,83
93,85,2,83
94,85,2,83
95,85,2,83
96,85,2,83
97,85,2,83
98,85,2,83
99,85,2,83
100,88,7,81
101,88,7,81
102,88,7,81
103,88,7,81
104,88,7,81
105,88,7,81
106,88,7,81
107,88,7,81
108,88,7,81
109,88,7,81
110,88,7,81
111,88,7,81
112,88,7,81
113,88,7,81
114,88,7,81
115,88,7,81
116,88,7,81
117,88,7,81
118,81,2,79
119,81,2,79
120,81,2,79
121,81,2,79
122,81,2,79
123,81,2,79
124,81,2,79
125,81,2,79
126,81,2,79
127,81,2,79
128,81,2,79
129,81,2,79
130,81,2,79
131,72,2,70
132,72,2,70
133,72,2,70
134,72,2,70
135,72,2,70
136,72,2,70
137,72,2,70
138,72,2,70
139,72,2,70
140,72,2,70
141,72,2,70
142,72,2,70
143,72,2,70
144,72,2,70
145,72,2,70
146,72,2,70
147,72,2,70
148,72,2,70
149,72,2,70
150,72,2,70
151,72,2,70
152,72,2,70
153,72,2,70
154,72,2,70
155,72,2,70
156,72,2,70
157,72,2,70
158,72,2,70
159,72,2,70
160,72,2,70
161,72,2,70
162,72,2,70
163,72,2,70
164,72,2,70
165,72,2,70
166,72,2,70
167,72,2,70
168,72,2,70
169,72,2,70
170,72,2,70
171,72,2,70
172,72,2,70
173,72,2,70
174,72,2,70
175,72,2,70
176,72,2,70
177,72,2,70
178,72,2,70
179,72,2,70
180,72,2,70
181,72,2,70
182,72,2,70
183,72,2,70
184,72,2,70
185,72,2,70
186,61,2,59
187,61,2,59
188,61,2,59
189,61,2,59
190,61,2,59
191,61,2,59
192,61,2,59
193,72,2,70
194,61,2,59
195,61,2,59
196,61,2,59
197,72,2,70
198,72,2,70
199,72,2,70
200,72,2,70
201,61,2,59
202,61,2,59
203,72,2,70
204,72,2,70
205,72,2,70
206,72,2,70
207,72,2,70
208,72,2,70
209,72,2,70
210,72,2,70
211,72,2,70
212,61,2,59
213,61,2,59
214,61,2,59
215,61,2,59
216,61,2,59
217,61,2,59
218,61,2,59
219,61,2,59
220,61,2,59
221,72,2,70
222,61,2,59
223,61,2,59
224,61,2,59
225,72,2,70
226,72,2,70
227,72,2,70
228,72,2,70
229,61,2,59
230,61,2,59
231,61,2,59
232,61,2,59
233,61,2,59
